日期	開盤	最高	最低	收盤	成交量	是否結算日
2024-07-29	22400	22511	22150	22256	20226	FALSE
2024-07-30	22260	22300	21810	22252	53239	FALSE
2024-07-31	22252	22348	21780	22284	61781	FALSE
2024-08-01	22335	22727	22335	22660	64239	FALSE
2024-08-02	22595	22636	21508	21526	101158	FALSE
2024-08-05	21497	21524	19374	19374	139068	FALSE
2024-08-06	19368	20788	18810	20455	204211	FALSE
2024-08-07	20349	21334	19952	21142	170209	FALSE
2024-08-08	21063	21431	20550	20698	188552	FALSE
2024-08-09	20794	21591	20564	21483	183528	FALSE
2024-08-12	21500	21894	21333	21676	167539	FALSE
2024-08-13	21650	21923	21566	21771	124998	FALSE
2024-08-14	21800	22156	21692	21996	115162	FALSE
2024-08-15	22011	22199	21732	21840	140866	FALSE
2024-08-16	21836	22445	21758	22365	120192	FALSE
2024-08-19	22374	22520	22167	22361	107850	FALSE
2024-08-20	22340	22578	22243	22435	80881	FALSE
2024-08-21	22438	22495	22152	22199	65918	TRUE
2024-08-22	22214	22300	22015	22100	117181	FALSE
2024-08-23	22150	22295	21767	22123	140542	FALSE
2024-08-26	22113	22450	22077	22210	145480	FALSE
2024-08-27	22192	22310	21994	22152	103937	FALSE
2024-08-28	22155	22411	22050	22405	119589	FALSE
2024-08-29	22416	22548	21901	22167	149858	FALSE
2024-08-30	22195	22478	22192	22318	123306	FALSE
2024-09-02	22316	22445	22095	22212	124418	FALSE
2024-09-03	22214	22313	22012	22051	90158	FALSE
2024-09-04	22078	22149	20826	20940	198817	FALSE
2024-09-05	20943	21452	20915	21183	173384	FALSE
2024-09-06	21169	21470	21015	21316	184698	FALSE
2024-09-09	21300	21508	20550	21083	249226	FALSE
2024-09-10	21125	21345	20906	21005	168176	FALSE
2024-09-11	21006	21183	20820	21006	162677	FALSE
2024-09-12	21054	21779	20881	21703	210001	FALSE
2024-09-13	21705	21894	21580	21815	134449	FALSE
2024-09-16	21798	21892	21735	21815	85279	FALSE
2024-09-18	21803	21874	21562	21618	84436	TRUE
2024-09-19	21712	22080	21608	22075	138914	FALSE
2024-09-20	22104	22434	22085	22216	141770	FALSE
2024-09-23	22219	22391	22099	22338	110475	FALSE
2024-09-24	22300	22507	22153	22493	114515	FALSE
2024-09-25	22550	22901	22505	22792	128275	FALSE
2024-09-26	22760	23076	22750	22957	121126	FALSE
2024-09-27	23000	23394	22877	22892	175231	FALSE
2024-09-30	22870	22981	22315	22326	179634	FALSE
2024-10-01	22333	22462	22006	22391	149133	FALSE
2024-10-02	22400	22438	21892	22099	124933	FALSE
2024-10-03	22400	22438	21892	22099	124933	FALSE
2024-10-04	22400	22506	21892	22288	195400	FALSE
2024-10-07	22317	22807	22231	22767	164540	FALSE
2024-10-08	22754	22758	22394	22578	137281	FALSE
2024-10-09	22599	22880	22545	22699	127296	FALSE
2024-10-11	22676	23048	22575	22911	124539	FALSE
2024-10-14	22905	23075	22817	23005	100818	FALSE
2024-10-15	23045	23385	23018	23228	89476	FALSE
2024-10-16	23215	23262	22811	22997	106703	TRUE
2024-10-17	23061	23275	23003	23256	124428	FALSE
2024-10-18	23467	23987	23451	23657	195534	FALSE
2024-10-21	23681	23883	23568	23574	110860	FALSE
2024-10-22	23567	23686	23333	23621	141140	FALSE
2024-10-23	23601	23666	23338	23409	118620	FALSE
2024-10-24	23414	23464	23135	23290	163880	FALSE
2024-10-25	23294	23482	23208	23476	110165	FALSE
2024-10-28	23468	23707	23215	23322	148710	FALSE
2024-10-29	23330	23385	22694	22979	150496	FALSE
2024-10-30	23017	23140	22848	22901	119757	FALSE
2024-10-31	22928	22993	22635	22698	81011	FALSE
2024-11-01	22928	22993	22234	22767	159360	FALSE
2024-11-04	22750	23042	22694	23036	129790	FALSE
2024-11-05	23040	23204	22781	23137	126258	FALSE
2024-11-06	23148	23446	23048	23319	152045	FALSE
2024-11-07	23373	23575	22938	23525	197912	FALSE
2024-11-08	23550	23792	23478	23774	129917	FALSE
2024-11-11	23767	23841	23311	23572	155906	FALSE
2024-11-12	23553	23566	22863	22875	168196	FALSE
2024-11-13	22873	23014	22574	22786	175509	FALSE
2024-11-14	22820	23075	22578	22692	186163	FALSE
2024-11-15	22639	22928	22591	22762	140218	FALSE
2024-11-18	22737	22830	22472	22573	143047	FALSE
2024-11-19	22592	22968	22338	22848	136351	FALSE
2024-11-20	22874	22955	22654	22689	108614	TRUE
2024-11-21	22800	22820	22499	22575	152795	FALSE
2024-11-22	22575	23065	22395	23032	208663	FALSE
2024-11-25	23060	23288	22978	23062	124216	FALSE
2024-11-26	23030	23032	22616	22634	131983	FALSE
2024-11-27	22637	22760	22341	22352	134020	FALSE
2024-11-28	22388	22467	22050	22330	163623	FALSE
2024-11-29	22332	22437	22005	22307	113432	FALSE
2024-12-02	22297	22825	22160	22822	137100	FALSE
2024-12-03	22839	23176	22804	23111	114963	FALSE
2024-12-04	23090	23293	22936	23286	128483	FALSE
2024-12-05	23270	23363	23187	23252	97409	FALSE
2024-12-06	23260	23451	23136	23180	103899	FALSE
2024-12-09	23200	23327	23171	23250	94685	FALSE
2024-12-10	23239	23477	23028	23078	127545	FALSE
2024-12-11	23080	23143	22826	22847	119561	FALSE
2024-12-12	22860	23210	22801	23107	106735	FALSE
2024-12-13	23098	23142	22851	22984	115367	FALSE
2024-12-16	23000	23268	22935	22966	122535	FALSE
2024-12-17	22976	23214	22963	23030	88132	FALSE
2024-12-18	23025	23198	22838	23107	88067	TRUE
2024-12-19	23187	23384	22607	22852	156453	FALSE
2024-12-20	22848	22972	22591	22631	142235	FALSE
2024-12-23	22666	23242	22521	23233	160124	FALSE
2024-12-24	23249	23449	23150	23201	117179	FALSE
2024-12-25	23219	23374	23212	23326	72226	FALSE
2024-12-26	23332	23418	23278	23326	46114	FALSE
2024-12-27	23311	23375	23155	23372	84155	FALSE
2024-12-30	23376	23389	23090	23171	101463	FALSE
2024-12-31	23164	23194	22925	23044	107843	FALSE
2025-01-02	23029	23164	22690	22843	124032	FALSE
2025-01-03	22850	23106	22733	22977	141235	FALSE
2025-01-06	22979	23620	22940	23606	124086	FALSE
2025-01-07	23639	23990	23618	23742	123583	FALSE
2025-01-08	23765	23893	23441	23449	127040	FALSE
2025-01-09	23419	23487	23084	23099	141188	FALSE
2025-01-10	23090	23192	22957	23058	93887	FALSE
2025-01-13	23025	23175	22431	22540	173498	FALSE
2025-01-14	22540	22766	22316	22754	117616	FALSE
2025-01-15	22740	22820	22494	22517	89874	TRUE
2025-01-16	22530	23215	22520	23035	149394	FALSE
2025-01-17	23218	23528	22956	23188	178856	FALSE
2025-01-20	23218	23416	23191	23343	107297	FALSE
2025-01-21	23340	23437	23172	23361	110099	FALSE
2025-01-22	23360	23720	23328	23689	102491	FALSE
2025-02-03	23674	23838	22569	22596	120564	FALSE
2025-02-04	22608	22941	22592	22825	115667	FALSE
2025-02-05	22830	23281	22830	23137	95117	FALSE
2025-02-06	23137	23378	23051	23295	93885	FALSE
2025-02-07	23292	23464	23244	23428	85494	FALSE
2025-02-10	23427	23526	23167	23236	131321	FALSE
2025-02-11	23235	23501	23235	23334	84444	FALSE
2025-02-12	23330	23535	23216	23311	103911	FALSE
2025-02-13	23330	23451	23151	23401	120334	FALSE
2025-02-14	23398	23398	23117	23180	119969	FALSE
2025-02-17	23169	23538	23065	23506	102303	FALSE
2025-02-18	23524	23663	23465	23645	48241	FALSE
2025-02-19	23675	23703	23519	23610	57838	TRUE
2025-02-20	23621	23669	23374	23536	107483	FALSE
2025-02-21	23538	23760	23470	23743	112999	FALSE
2025-02-24	23765	23780	23422	23556	114788	FALSE
2025-02-25	23548	23592	23140	23295	131543	FALSE
2025-02-26	23255	23419	23050	23417	144431	FALSE
2025-02-27	23428	23588	23126	23189	152458	FALSE
2025-03-03	23196	23308	22613	22724	174970	FALSE
2025-03-04	22727	22758	22108	22588	193970	FALSE
2025-03-05	22588	22925	22340	22892	197750	FALSE
2025-03-06	22899	23025	22706	22762	166503	FALSE
2025-03-07	22765	22807	22409	22523	167640	FALSE
2025-03-10	22467	22629	22243	22446	204376	FALSE
2025-03-11	22440	22483	21662	22027	206773	FALSE
2025-03-12	22050	22344	21840	22234	186136	FALSE
2025-03-13	22199	22475	21917	21923	197396	FALSE
2025-03-14	21923	22133	21857	21962	172216	FALSE
2025-03-17	21944	22310	21925	22155	125181	FALSE
2025-03-18	22133	22437	22101	22227	101234	FALSE
2025-03-19	22265	22333	21944	21963	95089	TRUE
2025-03-20	22028	22418	21968	22365	146703	FALSE
2025-03-21	22367	22383	22169	22181	159291	FALSE
2025-03-24	22200	22397	22017	22151	154635	FALSE
2025-03-25	22169	22443	22161	22301	136509	FALSE
2025-03-26	22310	22428	22252	22304	113364	FALSE
2025-03-27	22300	22315	21890	21971	146279	FALSE
2025-03-28	21958	21985	21484	21599	179311	FALSE
2025-03-31	21582	21642	20725	20764	212985	FALSE
2025-04-01	20804	21270	20688	21187	185134	FALSE
2025-04-02	21222	21388	21060	21296	175292	FALSE
2025-04-07	21306	21653	19167	19167	143539	FALSE
2025-04-08	17261	19296	17260	18169	451113	FALSE
2025-04-09	18240	18847	17141	17184	445214	FALSE
2025-04-10	17326	18902	17016	18902	323025	FALSE
2025-04-11	19671	19742	18381	19543	467058	FALSE
2025-04-14	19556	19981	19184	19497	331631	FALSE
2025-04-15	19535	19832	19347	19794	192158	FALSE
2025-04-16	19810	19908	19427	19547	130349	TRUE
2025-04-17	19368	19445	19002	19367	261175	FALSE
2025-04-18	19505	19583	19255	19334	221545	FALSE
2025-04-21	19346	19399	19030	19099	96170	FALSE
2025-04-22	19099	19140	18750	18803	181336	FALSE
2025-04-23	18873	19593	18810	19558	201054	FALSE
2025-04-24	19566	19775	19415	19460	209541	FALSE
2025-04-25	19448	20007	19354	19873	202307	FALSE
2025-04-28	19892	20066	19752	19965	173951	FALSE
2025-04-29	20001	20206	19826	20155	156039	FALSE
2025-04-30	20166	20266	20062	20154	146111	FALSE
2025-05-02	20180	20711	19925	20682	204835	FALSE
2025-05-05	20655	20899	20209	20423	215625	FALSE
